,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,cups,C
22,darwin-libplatform,C
23,darwin-libpthread,C
24,darwin-xnu,C
25,device-management,
26,dnikit,Python
27,example-package-dealer,Swift
28,example-package-deckofplayingcards,Swift
29,example-package-figlet,Swift
30,example-package-fisheryates,Swift
31,example-package-playingcard,Swift
32,FHIRModels,Swift
33,foundationdb,C++
34,fstools,C
35,game-center-tools,Python
36,GCGC,Jupyter Notebook
37,homebrew-apple,Ruby
38,HomeKitADK,C
39,indexstore-db,C++
40,learning-compressible-subspaces,Python
41,learning-subspaces,Python
42,llvm-monorepo-root,
43,llvm-project,
44,llvm-project-v5,C++
45,llvm-project-v5-split,C++
46,MaterialX,
47,ml-afv,Python
48,ml-all-pairs,Python
49,ml-ane-transformers,Python
50,ml-aspanformer,Python
51,ml-autofocusformer,Python
52,ml-autofocusformer-segmentation,Python
53,ml-batchquant,Python
54,ml-behavioral-testing-for-mt,
55,ml-calibration,Jupyter Notebook
56,ml-capsules-inverted-attention-routing,Python
57,ml-cifar-10-faster,Python
58,ml-code-switched-speech-translation,Python
59,ml-codeswitching-translations,
60,ml-collegial-ensembles,Python
61,ml-core,Python
62,ml-covid-mobility,R
63,ml-cread,Python
64,ml-cvnets,Python
65,ml-cvpr2019-swd,Python
66,ml-dab,Python
67,ml-data-parameters,Python
68,ml-delphi,
69,ml-destseg,Python
70,ml-dms-dataset,Python
71,ml-dprecs,Jupyter Notebook
72,ml-dr,Python
73,ml-duet,Python
74,ml-entropy-reconstruction,Python
75,ml-envmapnet,Python
76,ml-equivariant-neural-rendering,Jupyter Notebook
77,ml-facelit,Python
78,ml-fastvit,Python
79,ml-fct,Python
80,ml-ferret,Python
81,ml-finerecon,Python
82,ml-flair,Jupyter Notebook
83,ml-gaudi,
84,ml-gmpi,Python
85,ml-gsn,Python
86,ml-heart-rate-models,Python
87,ml-hierarchical-confusion-matrix,TypeScript
88,ml-hypersim,Python
89,ml-interspeech2022-phi_rtn,
90,ml-kge,Python
91,ml-knowledge-conflicts,Python
92,ml-live-pose,
93,ml-mkqa,Python
94,ml-mobileone,Swift
95,ml-multiple-futures-prediction,Python
96,ml-ncg,Python
97,ml-neilf,Python
98,ml-neilfpp,Python
99,ml-neuman,Python
100,ml-no-token-left-behind,Jupyter Notebook
101,ml-nvas3d,Python
102,ml-pointconvformer,Python
103,ml-pointersect,Python
104,ml-probabilistic-attention,Python
105,ml-projunit,Python
106,ml-qrecc,Python
107,ml-quant,Python
108,ml-reed,Python
109,ml-robust-expert-augmentations,Python
110,ml-sad,Python
111,ml-selfcond,Python
112,ml-shuffling-amplification,Python
113,ml-sigma-reparam,Python
114,ml-spatial-librispeech,
115,ml-spin,Python
116,ml-stable-diffusion,Python
117,ml-stuttering-events-dataset,Python
118,ml-symphony,Svelte
119,ml-tic-clip,
120,ml-tract,Python
121,ml-transcript-translation-consistency-ratings,
122,ml-translate-vis,TypeScript
123,ml-tree-dst,Python
124,ml-tune-mode-convbn,Python
125,ml-upscale,Jupyter Notebook
126,ml-uwac,Python
127,ml-vfi-smiff,Python
128,ml-vision-transformers-ane,Python
129,openjdk,Java
130,password-manager-resources,JavaScript
131,sample-backyard-birds,Swift
132,sample-cloudkit-coredatasync,Swift
133,sample-cloudkit-encryption,Swift
134,sample-cloudkit-privatedb,Swift
135,sample-cloudkit-privatedb-sync,Swift
136,sample-cloudkit-queries,Swift
137,sample-cloudkit-sharing,Swift
138,sample-cloudkit-sync-engine,Swift
139,sample-cloudkit-tooling,JavaScript
140,sample-cloudkit-zonesharing,Swift
141,sample-food-truck,Swift
142,servicetalk,Java
143,sourcekit-lsp,Swift
144,swift,C++
145,swift-3-api-guidelines-review,Swift
146,swift-algorithms,Swift
147,swift-aoc-starter-example,Swift
148,swift-argument-parser,Swift
149,swift-asn1,Swift
150,swift-async-algorithms,Swift
151,swift-async-dns-resolver,Swift
152,swift-atomics,Swift
153,swift-book,Markdown
154,swift-cassandra-client,Swift
155,swift-certificates,Swift
156,swift-clang,C++
157,swift-clang-tools-extra,C++
158,swift-cluster-membership,Swift
159,swift-cmake-examples,CMake
160,swift-cmark,C
161,swift-collections,Swift
162,swift-collections-benchmark,Swift
163,swift-community-hosted-continuous-integration,
164,swift-compiler-rt,C
165,swift-corelibs-foundation,Swift
166,swift-corelibs-libdispatch,C
167,swift-corelibs-xctest,Swift
168,swift-crypto,C
169,swift-distributed-actors,Swift
170,swift-distributed-tracing,Swift
171,swift-distributed-tracing-baggage-core,Swift
172,swift-distributed-tracing-extras,Swift
173,swift-docc,Swift
174,swift-docc-plugin,Swift
175,swift-docc-render,JavaScript
176,swift-docc-render-artifact,
177,swift-docc-symbolkit,Swift
178,swift-docker,Dockerfile
179,swift-driver,Swift
180,swift-evolution,Markdown
181,swift-evolution-staging,Swift
182,swift-experimental-string-processing,Swift
183,swift-format,Swift
184,swift-foundation,Swift
185,swift-foundation-icu,C
186,swift-getting-started-cli,Swift
187,swift-getting-started-package-library,Swift
188,swift-http-structured-headers,Swift
189,swift-http-types,Swift
190,swift-installer-scripts,CMake
191,swift-integration-tests,Python
192,swift-internals,HTML
193,swift-issues,
194,swift-libcxx,C++
195,swift-llbuild,C++
196,swift-llbuild2,Swift
197,swift-lldb,C++
198,swift-llvm,LLVM
199,swift-llvm-bindings,Swift
200,swift-lmdb,C
201,swift-log,Swift
202,swift-markdown,Swift
203,swift-metrics,Swift
204,swift-metrics-extras,Swift
205,swift-mmio,Swift
206,swift-nio,Swift
207,swift-nio-examples,Swift
208,swift-nio-extras,Swift
209,swift-nio-http2,Swift
210,swift-nio-imap,Swift
211,swift-nio-nghttp2-support,Swift
212,swift-nio-ssh,Swift
213,swift-nio-ssl,C
214,swift-nio-ssl-support,Swift
215,swift-nio-transport-services,Swift
216,swift-nio-zlib-support,Swift
217,swift-numerics,Swift
218,swift-openapi-generator,Swift
219,swift-openapi-runtime,Swift
220,swift-openapi-urlsession,Swift
221,swift-org-website,SCSS
222,swift-package-collection-generator,Swift
223,swift-package-manager,Swift
224,swift-package-registry-compatibility-test-suite,Swift
225,swift-protobuf,Swift
226,swift-protobuf-plugin,
227,swift-protobuf-test-conformance,
228,swift-sample-distributed-actors-transport,Swift
229,swift-sdk-generator,Swift
230,swift-se0270-range-set,Swift
231,swift-se0288-is-power,Swift
232,swift-service-context,Swift
233,swift-service-discovery,Swift
234,swift-source-compat-suite,Python
235,swift-standard-library-preview,Swift
236,swift-statsd-client,Swift
237,swift-stress-tester,Swift
238,swift-syntax,Swift
239,swift-system,Swift
